[ 2016-10-09T12:07:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000347s ]
[ 2016-10-09T12:07:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Tag[ view_end ] --START--
[ 2016-10-09T12:07:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Run ShowPageTrace Behavior [ RunTime:0.000040s ]
[ 2016-10-09T12:07:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Tag[ view_end ] --END-- [ RunTime:0.000064s ]
[ 2016-10-09T12:07:52+08:00 ] /marchsoft.cn/admin.php/Prize/prizetlist | ERR: (ThinkException) 无法加载模块Prize
[ 2016-10-09T12:07:52+08:00 ] /marchsoft.cn/admin.php/Prize/prizetlist | ERR: (ThinkException) 无法加载模块Prize
[ 2016-10-09T12:07:52+08:00 ] /marchsoft.cn/admin.php/Prize/prizetlist | ERR: (ThinkException) 无法加载模块Prize
[ 2016-10-09T12:07:53+08:00 ] /marchsoft.cn/admin.php/Prize/prizetlist | ERR: (ThinkException) 无法加载模块Prize
[ 2016-10-09T12:07:53+08:00 ] /marchsoft.cn/admin.php/Prize/prizetlist | ERR: (ThinkException) 无法加载模块Prize
[ 2016-10-09T12:08:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Tag[ route_check ] --START--
[ 2016-10-09T12:08:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Run CheckRoute Behavior [ RunTime:0.000051s ]
[ 2016-10-09T12:08:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Tag[ route_check ] --END-- [ RunTime:0.000120s ]
[ 2016-10-09T12:08:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-09T12:08:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Tag[ app_begin ] --START--
[ 2016-10-09T12:08:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000047s ]
[ 2016-10-09T12:08:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000073s ]
[ 2016-10-09T12:08:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | NOTIC: [8] Undefined index: out IndexAction.class.php 第 16 行.
[ 2016-10-09T12:08:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Tag[ view_template ] --START--
[ 2016-10-09T12:08:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Run LocationTemplate Behavior [ RunTime:0.000032s ]
[ 2016-10-09T12:08:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Tag[ view_template ] --END-- [ RunTime:0.000055s ]
[ 2016-10-09T12:08:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Tag[ view_parse ] --START--
[ 2016-10-09T12:08:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-09T12:08:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-09T12:08:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-09T12:08:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-09T12:08:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-09T12:08:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-09T12:08:04+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
