[ 2016-09-30T20:57:27+08:00 ] /marchsoft.cn/index.php/Index/home | SQL: SELECT `intro_content` FROM `march_intro` WHERE idmarch_intro = '1'  [ RunTime:0.000049s ]
[ 2016-09-30T20:57:27+08:00 ] /marchsoft.cn/index.php/Index/home | SQL: SHOW COLUMNS FROM `march_news` [ RunTime:0.000330s ]
[ 2016-09-30T20:57:27+08:00 ] /marchsoft.cn/index.php/Index/home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-09-30T20:57:27+08:00 ] /marchsoft.cn/index.php/Index/home | SQL: SELECT * FROM `march_news` WHERE news_type = '1' ORDER BY idmarch_news DESC LIMIT 6   [ RunTime:0.000064s ]
[ 2016-09-30T20:57:27+08:00 ] /marchsoft.cn/index.php/Index/home | SQL: SHOW COLUMNS FROM `march_project` [ RunTime:0.000356s ]
[ 2016-09-30T20:57:27+08:00 ] /marchsoft.cn/index.php/Index/home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-09-30T20:57:27+08:00 ] /marchsoft.cn/index.php/Index/home | SQL: SELECT * FROM `march_project` ORDER BY idmarch_project DESC LIMIT 6   [ RunTime:0.000044s ]
[ 2016-09-30T20:57:27+08:00 ] /marchsoft.cn/index.php/Index/home | SQL: SHOW COLUMNS FROM `march_article` [ RunTime:0.000598s ]
[ 2016-09-30T20:57:27+08:00 ] /marchsoft.cn/index.php/Index/home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-09-30T20:57:27+08:00 ] /marchsoft.cn/index.php/Index/home | SQL: SELECT * FROM `march_article` WHERE article_type = '1' LIMIT 6   [ RunTime:0.000284s ]
[ 2016-09-30T20:57:27+08:00 ] /marchsoft.cn/index.php/Index/home | INFO: Tag[ view_template ] --START--
[ 2016-09-30T20:57:27+08:00 ] /marchsoft.cn/index.php/Index/home | INFO: Run LocationTemplate Behavior [ RunTime:0.000379s ]
[ 2016-09-30T20:57:27+08:00 ] /marchsoft.cn/index.php/Index/home | INFO: Tag[ view_template ] --END-- [ RunTime:0.000476s ]
[ 2016-09-30T20:57:27+08:00 ] /marchsoft.cn/index.php/Index/home | INFO: Tag[ view_parse ] --START--
[ 2016-09-30T20:57:27+08:00 ] /marchsoft.cn/index.php/Index/home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-09-30T20:57:27+08:00 ] /marchsoft.cn/index.php/Index/home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-30T20:57:27+08:00 ] /marchsoft.cn/index.php/Index/home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-30T20:57:27+08:00 ] /marchsoft.cn/index.php/Index/home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-09-30T20:57:27+08:00 ] /marchsoft.cn/index.php/Index/home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-30T20:57:27+08:00 ] /marchsoft.cn/index.php/Index/home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
